default_gurobi, 11, 0.090, 1.86748144
FIXIPM, 11, 0.174, 1.86750771
IBP, 220, 0.042, 42.79585310
IBP, 3000, 0.172, 1.66126475
IBP, 3000, 0.220, 3.28526036
badmm, 20000, 6.461, 1.68100918
primal IPM, 12, 37.896, 1.66988814
default_gurobi, 11, 0.081, 1.75558784
FIXIPM, 12, 0.158, 1.75561397
IBP, 180, 0.041, 16.78012324
IBP, 3000, 0.192, 1.61732764
IBP, 3000, 0.179, 3.13126530
default_gurobi, 11, 0.086, 1.76411035
primal IPM, 11, 2.079, 1.59703383
default_gurobi, 11, 0.080, 1.67925674
default_gurobi, 11, 0.072, 1.69045971
primal IPM, 13, 3.946, 1.53326605
default_gurobi, 11, 0.091, 1.75473060
default_gurobi, 14, 0.091, 1.79258647
default_gurobi, 12, 0.118, 1.87927379
default_gurobi, 11, 0.070, 1.69825377
primal IPM, 23, 2.353, 1.55789188
default_gurobi, 11, 0.071, 1.81131088
default_gurobi, 12, 0.079, 1.63249947
default_gurobi, 11, 0.079, 1.90682124
default_gurobi, 11, 0.073, 1.66385049
default_gurobi, 11, 0.078, 1.92231655
FIXIPM, 11, 0.152, 1.77215681
FIXIPM, 11, 0.133, 1.73569148
FIXIPM, 12, 0.136, 1.78000888
FIXIPM, 12, 0.147, 1.84911161
primal IPM, 24, 4.116, 1.66096796
FIXIPM, 11, 0.171, 1.73452450
FIXIPM, 12, 0.081, 1.64244130
FIXIPM, 12, 0.072, 1.92003274
default_gurobi, 11, 0.061, 1.81647459
FIXIPM, 11, 0.078, 1.81656446
default_gurobi, 32, 10.038, 0.49564450
FIXIPM, 23, 1.733, 0.49565403
default_gurobi, 29, 9.678, 0.52812826
FIXIPM, 22, 1.782, 0.52814893
default_gurobi, 36, 10.366, 0.51829968
FIXIPM, 24, 2.175, 0.51832718
default_gurobi, 33, 9.997, 0.50976587
FIXIPM, 21, 1.555, 0.50977770
default_gurobi, 31, 10.162, 0.52769109
FIXIPM, 22, 1.695, 0.52774111
default_gurobi, 42, 10.850, 0.51534058
FIXIPM, 22, 1.868, 0.51535178
FIXIPM, 27, 60.912, 115.34744661
FIXIPM, 27, 68.622, 115.34744661
