,Unnamed: 0,Unnamed: 0.1,score,model,eps
49,49,69,0.7800726363419862,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.12
50,50,70,0.7279976570998243,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.12
51,51,71,0.7452444817150699,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.12
52,52,72,0.7517324040698654,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.12
53,53,73,0.7971355000766766,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.12
54,54,74,0.7634050010365799,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.12
55,55,75,0.7965960276950991,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.12
56,56,76,0.7720581660829339,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.12
57,57,77,0.7935251243145981,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.12
58,58,78,0.7344593363014417,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.12
59,59,79,0.7573813171181593,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.12
60,60,80,0.7953991159873512,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.1
61,61,81,0.7852417834770776,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.1
62,62,82,0.8383166248955722,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.1
63,63,83,0.7975214998280014,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.1
64,64,84,0.7718801858430342,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.1
65,65,85,0.7782494723825992,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.1
66,66,86,0.7658517145049653,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.1
67,67,87,0.7865642511153347,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.1
68,68,88,0.7671279116015958,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.1
69,69,89,0.8095404648345823,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.1
70,70,90,0.8106701969550267,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.1
71,71,91,0.8164037146390086,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.1
72,72,92,0.8106813439166379,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.1
73,73,93,0.8071108662439931,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.1
74,74,94,0.8034912144819266,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.1
75,75,95,0.7941317931410811,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.1
76,76,96,0.7902932344108814,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.1
77,77,97,0.8191738058611124,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.1
78,78,98,0.8141120820068188,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.1
79,79,99,0.8009764229578471,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.1
80,80,100,0.8696542321929319,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.08
81,81,101,0.7939653999251522,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.08
82,82,102,0.8645665134055227,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.08
83,83,103,0.8332403924973585,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.08
84,84,104,0.8472638702050468,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.08
85,85,105,0.8487923443805796,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.08
86,86,106,0.8372980283970997,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.08
87,87,107,0.8452034498009731,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.08
88,88,108,0.7957679415574154,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.08
89,89,109,0.8171422747893337,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.08
90,90,110,0.8216853811590653,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.08
91,91,111,0.8373630220224648,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.08
92,92,112,0.8157776794928498,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.08
93,93,113,0.8251574878045467,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.08
94,94,114,0.802777477731038,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.08
95,95,115,0.810433039612606,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.08
96,96,116,0.8045556198187777,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.08
97,97,117,0.8061923131582575,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.08
98,98,118,0.8580374492139198,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.08
99,99,119,0.8041287894229069,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.08
100,100,140,0.8910426355317995,$\alpha_{S_{\varepsilon}}$ (proposed),0.16
101,101,141,0.8786650449653546,$\alpha_{S_{\varepsilon}}$ (proposed),0.16
102,102,142,0.8885711894999823,$\alpha_{S_{\varepsilon}}$ (proposed),0.16
103,103,143,0.8802548670195728,$\alpha_{S_{\varepsilon}}$ (proposed),0.16
104,104,144,0.8913562431209491,$\alpha_{S_{\varepsilon}}$ (proposed),0.16
105,105,145,0.874858741979485,$\alpha_{S_{\varepsilon}}$ (proposed),0.16
